Country Name;2000 [YR2000];2001 [YR2001];2002 [YR2002];2003 [YR2003];2004 [YR2004];2005 [YR2005];2006 [YR2006];2007 [YR2007];2008 [YR2008];2009 [YR2009];2010 [YR2010];2011 [YR2011];2012 [YR2012];2013 [YR2013];2014 [YR2014];2015 [YR2015];2016 [YR2016];2017 [YR2017];2018 [YR2018];2019 [YR2019];2020 [YR2020]
Belize;5558.96822664365;5765.98287471288;5963.26135829195;6467.38049826304;6781.22227577658;6945.2678234197;7306.60713099128;7347.21502657259;7554.68790845639;7438.92310574861;7563.89656837941;7684.82986218843;7272.83658727039;7227.21356304606;7190.08610834646;7235.7101776584;7236.93095940656;7193.63430990345;7436.04610686127;7558.56791733533;6455.23182092725
Benin;1759.72035685933;1837.80533245199;1894.9988812774;1936.88097220494;2015.63776609052;2052.52885319768;2135.26376995317;2258.49268078074;2347.92432443978;2353.63289269548;2364.11963636531;2416.32736232359;2498.4957725647;2669.68821953416;2833.41275279485;2886.82913718973;3004.80780499086;3044.51715620319;3236.670417183;3426.32965445391;3504.11898086896
Bermuda;53983.1078026503;58516.5905351976;58183.9527692697;60886.1212204319;63560.1431555502;66207.2545861455;71580.6220719766;75534.9776006507;75121.6481270249;71040.1736780952;70620.0806836706;69998.8434204712;67453.8205236015;68993.2274876771;68775.4467426718;71873.2280578182;76362.0514142141;81834.9558735543;83377.0646748086;85263.7630031759;80799.5169395156
Bhutan;2696.37839136602;2923.11646372663;3229.50883026657;3480.08417066715;3723.4617282224;4056.15255166907;4412.51005792387;5302.73422031415;5608.4944604718;5972.87056933915;6693.51591287704;7295.85332842291;7912.14464450907;7989.68917892584;8666.45572463658;9500.65071564979;10457.244384538;11142.4746724654;11620.9159001164;12366.526476148;11126.0714856363
Bolivia;3437.61642755021;3504.7363793401;3580.81433483703;3677.6399759058;3863.45202084525;4086.37610778823;4335.38171739243;4575.66423712888;4868.44264066933;4986.4579138539;5167.11031871591;5460.25705795265;5921.64890711782;6624.80592182792;7056.82836431613;7133.87314496226;7499.77274089787;8423.69755843668;8863.34916107392;9093.43165872246;8272.40981448879
Bosnia and Herzegovina;4600.15963006774;4793.95238917218;5196.50314203661;5456.1879384513;5944.40028704466;6479.66260105336;7404.11483208423;8186.5690483975;9028.82576133884;9035.26440116805;9355.42706816651;9976.45970879235;10304.0790343584;11016.5604302948;11433.2157949148;12010.7119447824;13072.1322445538;13753.8316155705;14916.7850132616;15847.1340401587;15732.8357188053
Botswana;8461.96702260085;8507.00035088127;9004.94805006357;9431.86518960247;9772.37954062074;10339.5028934892;11311.7552206419;12311.8116601007;13055.4875794492;11912.9166996517;12862.4913329131;13729.859269143;13091.9801216906;14168.0821766891;15702.8727461301;14639.5584289553;16638.5204979364;15948.0320233624;16611.9043872002;17039.2621878762;15452.7261084472
Brazil;9060.78866695732;9260.76838093081;9568.06602729728;9733.77330392262;10445.3471782104;10988.9611484477;11642.4470546838;12549.9309993023;13312.7667574522;13269.1221073249;14299.5551384925;15040.0610864372;15046.2901818178;15588.7261289147;15718.5649500141;14744.1136344695;14256.163385421;14524.6135408174;15020.4382238881;15388.234915991;14829.8904171149
British Virgin Islands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Brunei Darussalam;66439.1367194862;68349.9303844996;70717.7790012773;72755.3211265061;73808.3213789057;75214.167116211;79772.8905497993;81012.9900947598;80036.7459938278;78298.5229939319;80280.0244489225;83935.2257151622;88245.9583498698;83788.5108927602;81371.2308691448;62540.6252209261;56297.2267116989;60994.5315563275;61839.1175656081;64724.1324324328;65588.2687709708
